parc	rep	bl	trt	trt_id	row	col	DH_SR_FI	GY_SR_FI	NLS_SR_FI	TKW_SR_FI	DH_SR_MWS	GY_SR_MWS	NLS_SR_MWS	TKW_SR_MWS
614	2	31	18	18	31	14	76	8934	59	42.39	77	9375	54	43.13
615	2	31	19	19	31	15	81	8588	48	53.24	82	9606	45	52.24
616	2	31	168	168	31	16	76	9251	46	54.47	77	8695	46	53.95
617	2	31	247	247	31	17	76	8333.5	49	45.47	77	8736.5	45	44.11
618	2	31	361	361	31	18	81	6576.5	45	36.39	80	7069	40	37.73
619	2	31	173	173	31	19	78	7512	56	47.56	78	7275.5	52	47.21
620	2	31	26	26	31	20	79	7300	52	44.34	78	8535	50	45.34
621	2	32	180	180	32	20	78	7387	50	47.83	79	7375.5	54	46.87
622	2	32	42	42	32	19	75	7360.5	46	44.22	75	7894.5	44	47.84
623	2	32	43	43	32	18	81	7633.5	48	49.42	80	9845.5	50	52.59
624	2	32	175	175	32	17	75	6776.5	40	48.25	73	8691	37	49.48
625	2	32	359	359	32	16	81	9092.5	48	39.06	80	8910	48	40.2
626	2	32	291	291	32	15	87	10306	51	38.85	86	10720.5	52	38.22
627	2	32	75	75	32	14	77	10260	47	52.4	77	9658.5	50	54.36
628	2	32	319	319	32	13	84	10122	46	41.47	84	8848.5	40	41.56
629	2	32	226	226	32	12	87	10038	57	46.92	86	9607.5	49	43.44
630	2	32	350	350	32	11	82	9791.5	40	43.05	80	8195.5	44	39.23
631	2	32	102	102	32	10	81	10320	49	50.98	79	7836	48	47.38
632	2	32	89	89	32	9	78	11182.5	47	51.39	77	6345.5	43	48.19
633	2	32	22	22	32	8	78	8298.5	51	43.39	76	6029	44	43.78
634	2	32	97	97	32	7	79	8526	44	48.18	77	6486	45	44.46
635	2	32	397	279	32	6	86	8140	53	39.65	85	7355	54	36.12
636	2	32	227	227	32	5	86	10979.5	46	47.74	84	9108.5	46	49.09
637	2	32	95	95	32	4	78	8798	52	44.4	77	8363	53	47.42
638	2	32	236	236	32	3	81	8796	45	46.44	77	8689.5	48	46.94
639	2	32	212	212	32	2	87	9897.5	51	35.69	87	10218	53	34.8
640	2	32	351	351	32	1	85	9580.5	36	44.56	84	9602	38	44.96
641	2	33	153	153	33	1	77	9854.5	40	49.05	77	9325.5	48	50.49
642	2	33	56	56	33	2	77	11400.5	48	54.34	77	11563.5	46	55.57
643	2	33	125	125	33	3	81	9748.5	46	52.55	78	9762.5	45	53.62
644	2	33	174	174	33	4	76	8731	47	50.35	75	9025.5	44	50.59
645	2	33	206	206	33	5	81	8942	51	46.62	80	9602	57	48.76
646	2	33	294	294	33	6	81	10405.5	45	47.88	79	10927.5	46	47.62
647	2	33	128	128	33	7	81	9936	48	50.64	78	9208.5	47	46.78
648	2	33	269	269	33	8	79	10121	46	42.05	78	8809.5	46	42.17
649	2	33	103	103	33	9	81	10270.5	45	55.92	80	8312	41	55.02
650	2	33	381	381	33	10	93	5392.5	49	38.32	92	4778	41	35.58
651	2	33	195	195	33	11	81	8825	54	62.42	80	7167.5	46	55.98
652	2	33	335	335	33	12	78	8515.5	47	40.42	77	7706	46	38.98
653	2	33	318	318	33	13	77	9307.5	51	37.72	77	9388	51	38.58
654	2	33	104	104	33	14	77	8661.5	44	48.58	78	9834	46	50.6
655	2	33	191	191	33	15	82	8652	51	51.89	83	9931	53	49.76
656	2	33	30	30	33	16	76	9218.5	53	50.56	76	9561.5	56	51.53
657	2	33	367	367	33	17	76	8169.5	44	37.08	76	8956.5	38	37.34
658	2	33	11	11	33	18	81	9032.5	54	47.06	80	10155	52	47.3
659	2	33	332	332	33	19	77	9083.5	36	42.87	77	8952.5	36	38.96
660	2	33	91	91	33	20	77	8785.5	41	55.49	77	8151	44	55.31
661	2	34	84	84	34	20	79	10490.5	53	54.72	79	11793	54	53.04
662	2	34	20	20	34	19	81	10445.5	58	40.89	83	10680.5	59	42.01
663	2	34	334	334	34	18	73	9592.5	44	46.73	73	9486	48	42.64
664	2	34	124	124	34	17	77	9425	48	58.17	76	7440.5	42	54.76
665	2	34	349	349	34	16	81	11886	40	43.38	84	9653.5	43	NA
666	2	34	305	305	34	15	77	7993	41	42.33	77	6968	42	NA
667	2	34	33	33	34	14	77	9103.5	45	55.98	77	6909.5	42	56.97
668	2	34	10	10	34	13	79	10660.5	49	49.88	78	7003.5	46	47.7
669	2	34	366	366	34	12	81	8982.5	42	37.8	79	6185.5	37	36.28
670	2	34	74	74	34	11	79	10461	46	54.42	77	7873	48	49.62
671	2	34	65	65	34	10	79	10944.5	45	50.18	77	7701.5	50	48.63
672	2	34	122	122	34	9	76	9805.5	42	55.87	76	7018	46	53.95
673	2	34	356	356	34	8	84	7764	31	37.44	83	7462.5	30	38.24
674	2	34	338	338	34	7	76	8950	35	45.39	75	9367	38	46.71
675	2	34	35	35	34	6	77	9679.5	52	43.12	77	10884.5	54	44.64
676	2	34	38	38	34	5	84	10687	56	42.45	84	10906.5	63	42.11
677	2	34	170	170	34	4	79	9809.5	52	48.39	78	11337	54	50.17
678	2	34	222	222	34	3	81	9945.5	40	35.66	80	10312	46	36.79
679	2	34	217	217	34	2	81	9972	44	46.91	78	10636	44	48.25
680	2	34	239	239	34	1	79	8664.5	47	43.46	75	10704	50	46.92
681	2	35	342	342	35	1	77	8389	43	49.39	75	7695	39	50.87
682	2	35	292	292	35	2	98	9175	34	41.24	87	9213.5	37	42.91
683	2	35	185	185	35	3	81	8052.5	39	56.82	80	7621.5	43	58.71
684	2	35	145	145	35	4	77	10084	54	56.13	76	9590	51	56.76
685	2	35	188	188	35	5	79	9492	44	49.77	79	9469.5	46	50.71
686	2	35	92	92	35	6	76	8872	43	50.99	75	8978.5	40	54.55
687	2	35	154	154	35	7	77	8691	51	44.07	77	7856	52	48.85
688	2	35	261	261	35	8	81	9375.5	35	39.26	80	10463.5	38	41
689	2	35	207	207	35	9	77	10343.5	46	51.76	76	8686.5	44	52.56
690	2	35	263	263	35	10	83	8845.5	52	39.58	83	9349.5	50	41.07
691	2	35	237	237	35	11	81	10193	48	45.72	79	8834	47	44.92
692	2	35	25	25	35	12	77	9343.5	51	47.8	76	6958	46	44.54
693	2	35	146	146	35	13	74	8296.5	41	44.77	73	6208	41	44.48
694	2	35	320	320	35	14	87	9568	41	34.63	83	7665	34	34.13
695	2	35	176	176	35	15	76	8891	46	49.51	76	6480.5	42	46.83
696	2	35	391	278	35	16	83	12492.5	43	45.12	82	8895	39	42.01
697	2	35	189	189	35	17	81	10082	48	48.56	78	7451.5	45	46.41
698	2	35	8	8	35	18	81	10291	46	51.97	79	8584.5	45	48.18
699	2	35	303	303	35	19	81	10184	48	35.38	83	8048.5	36	34.28
700	2	35	322	322	35	20	74	9025	37	40.26	73	8533	38	39.55
701	2	36	204	204	36	20	77	7568	48	49.72	76	7453.5	47	49.75
702	2	36	215	215	36	19	81	9310.5	46	45.34	80	7777	42	43.66
703	2	36	306	306	36	18	77	9331	40	49.46	77	7130.5	40	43.84
704	2	36	333	333	36	17	81	8412	37	39.96	79	7303.5	39	37.97
705	2	36	156	156	36	16	79	9431	44	56.65	79	6394	43	48.64
706	2	36	110	110	36	15	78	9566	42	53.71	78	7255.5	41	49.31
707	2	36	150	150	36	14	81	9440	44	52.87	79	6846	46	50.02
708	2	36	28	28	36	13	85	9902	45	46.91	84	7749	44	47
709	2	36	29	29	36	12	84	9936.5	44	47.41	83	8306	44	47.45
710	2	36	339	339	36	11	76	9358	33	44.22	74	8888	32	46.03
711	2	36	101	101	36	10	78	10893	48	50.72	79	11044	44	48.25
712	2	36	133	133	36	9	79	10552.5	47	50.38	77	10242	54	51.38
713	2	36	32	32	36	8	79	9801	50	43.22	78	9815.5	55	45.34
714	2	36	262	262	36	7	87	9838.5	40	42.46	86	10174.5	38	41.85
715	2	36	216	216	36	6	81	8787	36	40.73	78	9602	43	42.79
716	2	36	295	295	36	5	102	6703.5	NA	NA	108	6869	NA	NA
717	2	36	376	376	36	4	100	9143	NA	NA	101	7768.5	NA	NA
718	2	36	98	98	36	3	81	9882	44	47.75	78	8507	42	50.68
719	2	36	254	254	36	2	79	7018.5	60	49.83	79	5569	52	51.98
720	2	36	396	279	36	1	87	10921	57	37.77	85	7871.5	55	38.58
721	2	37	41	41	37	1	74	8556	46	43.58	73	8321	45	46.02
722	2	37	230	230	37	2	83	9595.5	56	41.3	82	8726	49	43.98
723	2	37	257	257	37	3	79	6763.5	44	45.91	79	5752.5	43	45.69
724	2	37	86	86	37	4	78	10704	47	56.9	77	10259.5	50	57.57
725	2	37	353	353	37	5	79	9336.5	35	44.97	77	9969.5	37	46.66
726	2	37	67	67	37	6	75	9731.5	47	60.44	74	10780.5	47	60.14
727	2	37	143	143	37	7	77	10129.5	48	46.29	76	10841	47	51.08
728	2	37	324	324	37	8	76	6841.5	38	42.56	76	7989	39	41.41
729	2	37	252	252	37	9	81	9748	50	44.69	83	9481.5	47	45.73
730	2	37	387	278	37	10	81	9783	42	41.57	82	11556	38	42.58
731	2	37	96	96	37	11	78	7713.5	44	47.88	78	8159	44	49.56
732	2	37	58	58	37	12	77	10226.5	49	54.37	78	10851	53	55.78
733	2	37	148	148	37	13	76	9994	47	48.51	76	9360.5	48	49.9
734	2	37	127	127	37	14	77	8248	41	51.68	76	6423.5	44	54.77
735	2	37	201	201	37	15	77	9547	37	49.74	76	9570	40	50.12
736	2	37	164	164	37	16	77	10883.5	51	50.62	76	9163	47	50.35
737	2	37	94	94	37	17	77	9104.5	47	44.85	76	7183.5	51	44.83
738	2	37	16	16	37	18	77	10106.5	42	53.42	76	7189.5	40	52.88
739	2	37	246	246	37	19	77	9790.5	48	48.46	77	6412.5	48	42.67
740	2	37	109	109	37	20	78	9172	47	46.48	77	7178	49	46.07
741	2	38	270	270	38	20	83	10629	47	42.09	84	7522	46	42.15
742	2	38	321	321	38	19	76	7940	43	41.84	76	6870	41	39.27
743	2	38	177	177	38	18	77	9228.5	50	50.86	78	7945	52	50.5
744	2	38	12	12	38	17	81	9972	39	53.96	81	9755.5	37	56.97
745	2	38	224	224	38	16	81	8407	46	44.72	82	7312.5	50	44.92
746	2	38	66	66	38	15	73	9062	48	57.74	73	8538	44	55.81
747	2	38	158	158	38	14	77	9336.5	40	53.14	77	8292.5	41	55.92
748	2	38	118	118	38	13	77	9919.5	52	45.73	77	8939	50	45.32
749	2	38	228	228	38	12	81	7754.5	45	42.39	81	8869	41	40.42
750	2	38	317	317	38	11	83	10387	47	41.47	84	9771	43	41.12
751	2	38	378	378	38	10	111	6896.5	NA	NA	NA	7031.5	NA	NA
752	2	38	79	79	38	9	77	10661.5	43	51.96	76	10408	52	51.9
753	2	38	316	316	38	8	75	7964	49	41.4	73	8335.5	44	41.31
754	2	38	155	155	38	7	77	9124.5	43	52.51	76	8824.5	41	53.07
755	2	38	17	17	38	6	84	8523.5	37	40.41	83	9269	40	39.97
756	2	38	140	140	38	5	75	9092	43	52.89	75	6293.5	47	56.29
757	2	38	147	147	38	4	73	8875	40	49.23	73	7126	42	52.54
758	2	38	198	198	38	3	78	9781.5	42	61.68	77	9187	45	64.41
759	2	38	372	372	38	2	81	8815.5	41	44.14	78	8052	40	44.86
760	2	38	395	279	38	1	85	8669.5	52	39.52	85	8743	52	39.39
761	2	39	290	290	39	1	79	7616	55	38.08	80	8335.5	49	40.05
762	2	39	260	260	39	2	NA	5474	NA	NA	NA	5563	NA	NA
763	2	39	114	114	39	3	74	8052.5	44	58.01	73	7596.5	37	61.02
764	2	39	24	24	39	4	76	8429	53	52.54	75	8578.5	51	56.91
765	2	39	90	90	39	5	73	9888	36	47.3	73	8533.5	36	50.42
766	2	39	106	106	39	6	79	9511.5	45	54.18	77	10751.5	50	55.12
767	2	39	142	142	39	7	77	10778.5	51	55.23	77	11190	49	58.08
768	2	39	119	119	39	8	77	8100	46	52.67	77	8770.5	47	53.44
769	2	39	162	162	39	9	73	7990	48	54.77	73	8845.5	40	57.33
770	2	39	149	149	39	10	77	8773.5	42	54.77	76	9268.5	38	55.04
771	2	39	232	232	39	11	80	9649	39	42	81	10751.5	38	42.89
772	2	39	144	144	39	12	77	9553.5	47	49.41	76	10818	52	49.55
773	2	39	285	285	39	13	79	7051	34	36.87	83	8272	42	37.12
774	2	39	273	273	39	14	79	9579	33	46.39	80	9898	32	47.04
775	2	39	203	203	39	15	81	10223.5	46	45.6	83	11004.5	46	45.25
776	2	39	225	225	39	16	81	8446.5	41	43.74	82	9643.5	46	46.57
777	2	39	209	209	39	17	78	NA	62	43.54	77	NA	53	40.66
778	2	39	27	27	39	18	76	9530	50	57.32	73	7724	48	56.91
779	2	39	100	100	39	19	80	10568.5	47	52.79	81	9967	45	54.2
780	2	39	274	274	39	20	86	9294	37	38.17	83	6711.5	32	37.12
781	2	40	63	63	40	20	77	10128.5	48	47.11	75	10244.5	44	51.4
782	2	40	59	59	40	19	77	7956.5	49	46.57	76	9435	52	53.14
783	2	40	51	51	40	18	76	7846.5	46	50.63	75	8285	51	58.73
784	2	40	186	186	40	17	78	7925	43	48.79	78	8527	41	55.51
785	2	40	71	71	40	16	77	10314.5	45	50.42	76	11755	49	56.1
786	2	40	9	9	40	15	77	9949.5	54	38.6	75	10261	52	43.89
787	2	40	267	267	40	14	78	8194	40	52.83	77	9195	41	58.67
788	2	40	1	1	40	13	80	9592	53	47.18	81	10314	58	50.24
789	2	40	330	330	40	12	76	7342.5	40	39.63	75	9940	43	45.07
790	2	40	57	57	40	11	75	7693.5	40	54.62	75	8349.5	38	59.1
791	2	40	73	73	40	10	76	11224.5	42	54.42	74	10058.5	42	61.44
792	2	40	105	105	40	9	74	10534.5	44	35.29	73	8297.5	37	52.77
793	2	40	300	300	40	8	83	9393	57	39.25	82	9226.5	58	43.05
794	2	40	243	243	40	7	85	9063	46	46.18	84	9124.5	45	46.06
795	2	40	313	313	40	6	83	8798.5	47	37.2	84	8939	36	39.01
796	2	40	131	131	40	5	76	9663	52	48.08	76	7409	42	50.96
797	2	40	47	47	40	4	76	10985.5	56	40.86	75	8653	50	47.13
798	2	40	348	348	40	3	83	10578	41	40.42	83	10541.5	41	42.48
799	2	40	171	171	40	2	76	7933	50	50.05	73	7995	44	56.75
800	2	40	211	211	40	1	83	7417	36	37.95	85	8633	38	40.78
