Trial,rep,col,row,yield,geno
09RS,1,6,17,3.728,G016
09RS,1,2,11,3.69,G016
09RS,2,12,32,3.569,G016
09RS,2,8,9,1.132,G092
09RS,1,3,20,1.541,G092
09RS,1,5,31,3.454,G086
09RS,2,9,13,3.203,G086
09RS,1,2,31,4.107,G009
09RS,2,9,7,3.942,G009
09RS,2,8,5,3.505,G009
09RS,2,10,6,3.358,G009
09RS,1,5,12,3.317,G009
09RS,1,4,15,3.307,G009
09RS,2,11,20,4.487,G190
09RS,1,6,24,3.939,G190
09RS,1,1,10,3.305,G191
09RS,2,8,30,3.104,G191
09RS,1,1,18,3.198,G021
09RS,2,12,17,3.074,G021
09RS,2,12,21,4.122,G139
09RS,1,3,4,3.919,G139
09RS,2,11,23,3.767,G043
09RS,1,4,26,3.282,G043
09RS,2,10,20,4.269,G030
09RS,1,4,27,3.827,G030
09RS,2,11,31,3.381,G066
09RS,1,5,4,3.142,G066
09RS,1,5,20,3.604,G049
09RS,2,12,19,3.373,G049
09RS,2,7,7,3.985,G036
09RS,1,5,13,3.924,G036
09RS,1,5,11,3.772,G032
09RS,2,9,34,3.767,G032
09RS,2,9,23,3.959,G068
09RS,1,5,7,3.716,G068
09RS,1,4,32,4.378,G048
09RS,2,7,23,3.254,G048
09RS,1,6,19,4.061,G150
09RS,2,8,6,3.807,G150
09RS,2,11,12,3.934,G067
09RS,1,2,26,3.718,G067
09RS,1,4,3,3.789,G059
09RS,2,7,27,3.716,G059
09RS,1,1,14,3.797,G046
09RS,2,11,1,3.498,G046
09RS,1,6,33,3.906,G003
09RS,2,10,5,3.749,G003
09RS,2,8,32,2.982,G192
09RS,1,2,3,2.926,G192
09RS,2,7,12,4.386,G123
09RS,1,6,7,4.129,G123
09RS,2,10,28,4.746,G006
09RS,1,2,4,4.465,G006
09RS,1,3,11,4.221,G006
09RS,2,10,34,4.107,G006
09RS,1,6,10,3.498,G082
09RS,2,7,29,3.188,G082
09RS,1,6,21,3.624,G108
09RS,2,11,30,4.327,G108
09RS,2,9,4,3.901,G108
09RS,1,3,24,3.591,G108
09RS,1,1,8,4.322,G047
09RS,2,12,25,3.815,G047
09RS,1,3,10,3.467,G164
09RS,2,11,14,3.784,G164
09WH,1,5,31,1.352,G165
09WH,1,4,30,1.225,G165
09WH,1,1,11,1.898,G166
09WH,2,8,29,1.946,G166
09WH,1,1,33,2.019,G026
09WH,2,11,17,1.121,G026
09WH,1,3,9,1.611,G145
09WH,1,5,29,1.573,G145
09WH,1,5,1,1.451,G145
09WH,1,5,16,1.267,G145
09WH,1,6,26,2.175,G101
09WH,2,12,27,1.978,G101
09WH,1,1,17,1.791,G072
09WH,2,8,21,1.577,G072
09WH,2,7,15,2.072,G167
09WH,2,9,31,1.611,G167
09WH,1,4,28,1.755,G065
09WH,2,8,4,1.74,G065
09WH,2,9,11,1.278,G065
09WH,2,12,3,1.086,G065
09WH,1,5,9,3.234,G136
09WH,2,11,28,1.304,G136
09WH,1,6,28,2.518,G007
09WH,2,11,32,0.788,G007
09WH,1,1,5,1.769,G028
09WH,1,6,14,1.592,G028
09WH,2,10,20,1.592,G080
09WH,2,11,2,0.847,G080
09WH,1,3,15,1.674,G045
09WH,2,9,22,1.181,G045
09WH,1,1,18,1.44,G050
09WH,2,10,27,1.15,G050
09WH,2,11,34,1.593,G168
09WH,1,2,13,1.248,G168
09WH,1,2,22,1.865,G008
09WH,2,10,1,1.208,G008
09WH,2,7,12,2.218,G004
09WH,1,2,29,1.16,G004
09WH,1,1,29,2.04,G147
09WH,1,4,6,1.289,G147
09WH,2,10,21,1.556,G147
09WH,2,7,10,1.49,G147
09WH,1,4,23,1.265,G077
09WH,2,11,13,0.391,G077
09WH,2,9,2,1.81,G064
09WH,1,2,33,2.045,G064
09WH,2,7,14,1.965,G033
09WH,1,1,7,1.649,G033
09WH,2,11,25,1.368,G042
09WH,2,12,24,1.839,G062
09WH,2,7,34,1.789,G062
09WH,1,6,31,1.459,G099
09WH,2,10,34,0.253,G099
09WH,1,3,18,2.132,G088
09WH,1,6,18,2.914,G088
09WH,2,8,19,1.354,G154
09WH,2,10,4,0.594,G154
09WH,1,2,27,2.615,G053
09WH,2,10,28,0.866,G053
09WH,2,8,23,1.6,G019
09WH,2,11,3,0.276,G019
09WH,2,9,1,1.949,G149
09WH,1,2,18,1.709,G149
09WH,1,4,32,1.363,G038
09WH,1,5,14,0.904,G038
09WH,1,1,32,1.772,G132
09WH,2,12,5,0.889,G132
09WH,2,10,13,1.921,G169
09WH,1,1,27,1.858,G169
09WH,2,8,20,1.555,G103
09WH,2,9,13,1.232,G103
09WH,1,6,6,3.145,G118
09WH,1,2,12,1.674,G118
09WH,1,5,13,2.791,G170
09WH,1,4,27,2.323,G170
09WH,1,3,28,1.788,G081
09WH,2,12,28,1.52,G081
09WH,1,5,11,1.155,G027
09WH,1,2,2,1.013,G027
09WH,1,5,34,2.974,G152
09WH,2,11,29,1.155,G152
09WH,1,5,17,3.489,G070
09WH,1,1,28,2.08,G070
09WH,2,10,8,1.799,G057
09WH,2,7,6,1.552,G057
09WH,2,7,13,1.754,G171
09WH,2,7,2,1.729,G171
09WH,2,7,8,1.595,G097
09WH,2,9,29,0.327,G097
09WH,2,9,9,1.907,G116
09WH,1,4,13,1.467,G116
09WH,1,3,32,2.262,G106
09WH,1,4,7,1.64,G106
09WH,1,6,13,3.803,G087
09WH,1,4,20,1.582,G087
09WH,2,7,19,1.875,G034
09WH,1,2,11,1.572,G034
09WH,1,5,6,2.056,G069
09WH,2,8,33,2.028,G069
09WH,1,1,23,1.715,G069
09WH,1,3,21,1.448,G069
09WH,1,6,33,1.333,G078
09WH,2,12,9,1.931,G078
09WH,1,3,26,1.634,G029
09WH,2,7,1,2.165,G029
09WH,2,7,20,2.183,G018
09WH,1,2,16,1.043,G018
09WH,2,7,33,1.651,G091
09WH,2,11,30,1.255,G091
09WH,1,6,23,1.653,G172
09WH,2,11,12,0.896,G172
09WH,2,10,11,1.759,G020
09WH,1,4,3,1.429,G020
09WH,2,12,15,2.101,G195
09WH,1,3,22,1.572,G195
09WH,2,8,30,1.276,G155
09WH,2,9,7,1.506,G155
09WH,1,4,25,1.715,G022
09WH,1,6,1,1.616,G022
09WH,1,2,6,1.552,G156
09WH,2,8,24,1.488,G156
09WH,1,6,8,1.965,G140
09WH,1,2,17,1.883,G140
09WH,1,1,26,1.704,G140
09WH,2,9,28,1.473,G140
09WH,1,6,10,2.862,G137
09WH,1,1,21,1.972,G137
09WH,1,1,30,1.645,G173
09WH,2,7,23,1.572,G173
09WH,1,1,3,1.293,G025
09WH,2,10,22,1.052,G025
09WH,1,5,30,1.621,G093
09WH,2,9,17,1.52,G093
09WH,2,9,30,1.304,G093
09WH,2,8,15,0.762,G093
09WH,2,7,4,2.577,G005
09WH,1,5,4,3.972,G005
09WH,1,3,1,1.535,G052
09WH,2,10,23,1.276,G052
09WH,1,2,9,2.025,G157
09WH,2,7,28,1.508,G157
09WH,1,2,32,1.538,G055
09WH,2,11,26,1.328,G055
09WH,1,6,2,3.612,G158
09WH,1,2,25,1.723,G158
09WH,2,8,25,2.074,G084
09WH,1,1,31,1.671,G084
09WH,1,4,34,2.298,G126
09WH,2,9,19,1.616,G126
09WH,1,5,15,2.914,G074
09WH,1,2,20,1.871,G074
09WH,1,4,29,1.578,G060
09WH,2,12,13,2.188,G060
09WH,2,7,7,2.003,G127
09WH,2,10,24,1.214,G127
09WH,1,3,11,1.837,G015
09WH,2,12,34,1.062,G015
09WH,2,9,4,2.009,G153
09WH,2,9,14,1.68,G153
09WH,1,4,4,1.609,G001
09WH,2,9,20,1.232,G001
09WH,1,2,7,1.969,G120
09WH,2,7,16,1.945,G120
09WH,2,10,9,1.776,G100
09WH,1,4,8,1.772,G100
09WH,1,1,13,1.372,G090
09WH,2,12,31,2.001,G090
09WH,1,4,17,2.32,G010
09WH,2,11,11,1.258,G010
09WH,1,4,15,2.277,G104
09WH,1,6,11,3.542,G104
09WH,1,5,22,3.514,G112
09WH,2,9,18,1.752,G112
09WH,1,2,24,2.268,G023
09WH,2,8,22,1.98,G023
09WH,1,2,28,1.089,G056
09WH,1,3,6,1.942,G056
09WH,1,4,16,1.886,G031
09WH,2,12,19,0.478,G031
09WH,1,6,19,2.938,G083
09WH,2,12,22,1.394,G083
09WH,2,7,9,2.369,G107
09WH,2,9,25,1.78,G107
09WH,1,3,2,1.332,G151
09WH,2,11,7,1.17,G151
09WH,1,1,4,1.985,G133
09WH,1,4,33,1.578,G133
09WH,2,9,23,1.64,G143
09WH,1,4,14,1.622,G143
09WH,2,9,15,1.995,G073
09WH,1,3,14,1.714,G073
09WH,2,8,32,2.262,G109
09WH,1,2,8,1.978,G109
09WH,1,5,20,1.572,G111
09WH,2,12,16,1.48,G111
09WH,2,10,19,1.63,G076
09WH,1,3,24,0.954,G076
09WH,1,4,21,1.154,G098
09WH,2,9,24,1.071,G098
09WH,2,8,28,1.926,G174
09WH,1,2,26,0.981,G174
09WH,1,5,3,2.622,G061
09WH,1,4,26,1.917,G061
09WH,1,5,19,2.163,G130
09WH,1,1,24,1.456,G130
09WH,1,1,22,1.429,G130
09WH,2,7,22,2.362,G130
09WH,2,8,26,1.682,G146
09WH,2,12,21,1.467,G146
09WH,1,4,22,1.871,G159
09WH,2,9,3,1.219,G159
09WH,1,3,19,1.768,G175
09WH,2,10,33,0.855,G175
09WH,1,6,21,1.493,G176
09WH,1,1,34,1.189,G176
09WH,1,3,4,2.468,G177
09WH,2,10,18,0.408,G177
09WH,1,1,20,1.557,G117
09WH,2,9,32,1.818,G117
09WH,2,8,16,1.449,G012
09WH,2,12,30,1.727,G012
09WH,1,3,16,1.434,G134
09WH,2,11,1,1.242,G134
09WH,1,6,15,2.432,G115
09WH,2,10,26,0.804,G115
09WH,1,2,34,2.022,G178
09WH,2,12,2,0.823,G178
09WH,2,7,30,2.006,G110
09WH,1,3,3,1.965,G110
09WH,2,8,18,1.345,G110
09WH,2,11,16,1.264,G110
09WH,1,5,10,3.308,G014
09WH,1,5,25,1.714,G014
09WH,1,6,22,1.651,G024
09WH,2,9,5,1.747,G024
09WH,1,2,15,1.629,G017
09WH,2,11,4,0.647,G017
09WH,1,6,7,2.552,G071
09WH,2,10,30,1.29,G071
09WH,2,9,34,1.681,G094
09WH,1,1,1,1.496,G094
09WH,1,3,7,1.911,G121
09WH,2,8,13,2.175,G121
09WH,1,6,32,3.132,G179
09WH,2,10,7,1.44,G179
09WH,2,10,6,2.068,G180
09WH,1,2,1,0.795,G180
09WH,2,10,12,1.77,G119
09WH,1,2,5,1.692,G119
09WH,2,7,17,2.094,G013
09WH,2,9,6,1.367,G013
09WH,1,5,28,2.605,G193
09WH,1,5,18,2.672,G193
09WH,1,6,20,3.397,G144
09WH,2,12,1,1.326,G144
09WH,2,8,1,1.812,G105
09WH,2,11,5,1.317,G105
09WH,2,7,24,1.954,G040
09WH,2,10,31,0.746,G040
09WH,2,7,5,1.822,G131
09WH,2,11,24,1.007,G131
09WH,1,3,30,1.852,G124
09WH,2,11,8,1.206,G124
09WH,1,5,12,2.574,G089
09WH,2,9,26,1.746,G089
09WH,1,2,19,1.815,G128
09WH,2,11,31,1.024,G128
09WH,1,5,32,3.185,G041
09WH,1,4,12,1.588,G041
09WH,2,10,2,1.628,G125
09WH,2,7,27,1.446,G125
09WH,1,6,24,1.514,G002
09WH,2,9,27,0.095,G002
09WH,1,1,6,1.797,G063
09WH,2,11,27,1.461,G063
09WH,2,11,6,1.685,G054
09WH,2,8,8,1.527,G054
09WH,1,3,12,1.455,G079
09WH,2,10,29,0.939,G079
09WH,1,3,29,2.391,G135
09WH,1,6,12,3.037,G135
09WH,2,12,33,1.784,G141
09WH,1,3,8,1.76,G035
09WH,2,12,20,1.619,G035
09WH,2,12,14,1.949,G181
09WH,1,1,9,1.72,G181
09WH,1,3,34,2.077,G182
09WH,2,11,10,1.118,G182
09WH,1,5,26,2.737,G183
09WH,1,3,31,2.351,G183
09WH,1,3,33,1.779,G184
09WH,1,1,15,1.533,G184
09WH,2,10,17,1.438,G185
09WH,1,1,2,1.347,G185
09WH,1,4,2,1.56,G096
09WH,2,11,15,1.13,G096
09WH,1,6,5,1.44,G186
09WH,2,12,7,0.258,G186
09WH,1,4,24,1.707,G160
09WH,2,12,17,1.743,G160
09WH,1,2,3,1.677,G011
09WH,1,5,8,2.149,G011
09WH,2,8,5,1.837,G138
09WH,1,2,21,0.092,G138
09WH,2,7,25,1.58,G161
09WH,2,11,22,0.851,G161
09WH,1,1,14,0.917,G085
09WH,2,8,7,2.263,G085
09WH,2,8,34,1.623,G039
09WH,2,9,16,1.483,G039
09WH,2,7,11,1.745,G075
09WH,1,2,4,1.634,G075
09WH,2,9,8,1.881,G162
09WH,2,7,31,1.726,G162
09WH,2,8,31,2.191,G114
09WH,1,4,11,1.791,G114
09WH,1,5,27,2.638,G122
09WH,2,10,14,1.596,G122
09WH,2,11,14,0.982,G129
09WH,2,8,3,0.269,G129
09WH,1,1,8,1.978,G102
09WH,2,11,18,1.095,G102
09WH,1,6,17,2.614,G051
09WH,1,2,30,0.357,G051
09WH,2,9,33,1.4,G148
09WH,2,10,10,1.249,G148
09WH,1,2,10,2.517,G095
09WH,2,12,18,1.938,G095
09WH,1,2,14,2.48,G113
09WH,1,5,21,2.692,G113
09WH,1,5,5,2.948,G044
09WH,2,9,10,1.597,G044
09WH,1,4,9,1.416,G163
09WH,1,6,27,0.944,G163
09WH,2,8,2,1.908,G187
09WH,2,11,33,0.619,G187
09WH,1,5,2,3.514,G188
09WH,1,4,18,1.44,G188
09WH,2,7,32,1.712,G037
09WH,2,12,4,0.943,G037
09WH,2,8,6,1.863,G189
09WH,1,3,20,1.256,G189
09WH,2,10,15,1.988,G016
09WH,2,8,27,1.962,G016
09WH,2,8,9,1.758,G016
09WH,2,11,23,1.092,G016
09WH,1,6,30,0.309,G092
09WH,1,4,19,0.224,G092
09WH,1,4,5,0.104,G092
09WH,1,5,33,0.08,G092
09WH,1,3,23,1.536,G086
09WH,1,6,29,1.005,G086
09WH,1,3,25,1.434,G009
09WH,2,7,26,1.574,G009
09WH,2,8,14,1.803,G190
09WH,2,10,3,1.603,G190
09WH,2,7,18,1.822,G191
09WH,2,8,10,1.431,G191
09WH,2,10,16,1.667,G194
09WH,1,3,27,1.489,G194
09WH,2,8,17,2.028,G021
09WH,2,12,8,1.42,G021
09WH,1,4,10,1.871,G139
09WH,2,11,19,1.116,G139
09WH,1,5,7,3.674,G043
09WH,1,2,23,1.662,G043
09WH,1,3,10,1.618,G030
09WH,1,3,17,1.695,G030
09WH,1,6,4,2.885,G066
09WH,2,12,25,1.702,G066
09WH,2,10,5,1.566,G049
09WH,2,12,26,1.908,G049
09WH,1,6,3,2.934,G036
09WH,2,11,9,1.173,G036
09WH,1,1,12,2.329,G032
09WH,2,9,21,1.614,G032
09WH,1,2,31,1.579,G068
09WH,2,11,20,1.025,G068
09WH,2,8,11,1.823,G048
09WH,2,12,6,1.226,G048
09WH,2,12,12,1.86,G150
09WH,2,12,23,2.441,G150
09WH,1,5,24,2.688,G067
09WH,2,9,12,1.45,G067
09WH,1,6,16,3.425,G059
09WH,1,1,25,2.268,G059
09WH,1,5,23,2.949,G046
09WH,1,1,19,1.88,G046
09WH,1,1,16,1.935,G003
09WH,2,11,21,0.666,G003
09WH,1,1,10,1.966,G192
09WH,2,12,29,0.472,G192
09WH,1,3,5,2.139,G123
09WH,2,7,21,1.769,G123
09WH,1,6,25,2.267,G006
09WH,2,12,32,2.173,G006
09WH,2,7,29,2.077,G006
09WH,1,3,13,1.803,G006
09WH,1,4,31,2.181,G082
09WH,2,12,10,1.404,G082
09WH,1,6,34,1.901,G108
09WH,1,4,1,1.645,G108
09WH,2,10,25,1.481,G108
09WH,2,10,32,1.216,G108
09WH,2,8,12,1.938,G047
09WH,2,12,11,1.794,G047
